股票代码,股票简称,最新价(港元),最新涨跌幅(%),净资产收益率roe(%)2018财年4季报,净资产收益率roe(%)2017财年4季报,净资产收益率roe(%)2016财年4季报,净资产收益率roe(%)2015财年4季报,净资产收益率roe(%)2014财年4季报,[1]/[2],[3]/[4],[5]/[6],[7]/[8],[9]/[10],销售毛利率(%)2018财年4季报,销售毛利率(%)2017财年4季报,销售毛利率(%)2016财年4季报,销售毛利率(%)2015财年4季报,销售毛利率(%)2014财年4季报
1128.HK,永利澳门,11.46,-0.69,411.3,123.32,58.52,58.76,91.51,156,342,407,103,89,52.19,53.56,54.69,54.44,52.84
0799.HK,IGG,4.64,-1.07,66.94,68.08,37.06,21.78,35.54,126,110,102,129,107,69.92,68.27,67.96,69.39,71.25
1928.HK,金沙中国有限公司,27.3,-1.8,42.53,35.32,24.45,25,39.63,163,164,192,135,127,60.42,62.09,62.02,61.26,58.44
1830.HK,必瘦站,1.62,-7.96,41.3,20.13,27.82,27.38,34.83,125,225,147,183,110,98.43,97.99,98.18,97.93,97.75
0303.HK,伟易达,55.3,-1.07,31.91,30.61,34.55,36.63,35.32,85,104,119,116,115,32.96,33.16,31.42,32.48,33.4
0831.HK,利亚零售,3.64,0.55,26.52,23.1,17.24,18.98,15.32,144,205,152,97,195,35.92,34.82,34.38,33.92,34.91
2020.HK,安踏体育,52,-5.97,26,22.53,24.98,23.78,21.81,108,103,103,93,99,52.64,49.37,48.4,46.61,45.13
0700.HK,腾讯控股,376.4,-0.9,24.33,27.93,23.53,24,29.76,141,148,159,158,137,45.45,49.18,55.61,59.53,60.89
1044.HK,恒安国际,61.05,4.18,22.72,23.56,24.42,23.25,22.2,104,106,114,86,128,38.2,46.91,48.78,47.61,46.11
1093.HK,石药集团,15.26,1.6,21.37,18.08,20.78,19.06,15.7,106,119,139,135,142,66.16,60.44,51,45.82,38.22
3606.HK,福耀玻璃,15.96,3.1,20.39,16.56,17.42,15.86,25.18,132,148,112,115,141,41.52,41.66,41.95,41.51,41.48
0345.HK,维他奶国际,24.1,0.84,20.13,25.02,24.12,19.39,17.53,182,153,119,199,213,52.9,53.15,50.9,49.7,48.4
2018.HK,瑞声科技,39.8,-0.38,20.05,30.34,28.37,27.48,25.36,179,99,120,121,85,37.19,41.29,41.55,41.5,41.42
0669.HK,创科实业,48.4,0.94,18.07,17.16,17.04,16.44,15.27,144,127,143,95,108,37.24,36.71,36.22,35.68,35.2
1573.HK,南方能源,0.68,0,17.34,23.39,28.37,39.6,59.04,132,145,146,145,146,52.52,57.48,58.41,57.61,60.25
2348.HK,东瑞制药,1.16,1.75,15.82,16.22,16.25,20.5,16.43,90,133,120,99,184,62.7,63.63,62.05,57.81,58.68
